date,open,high,low,close,volume,rsi_14,bb_mid,bb_upper,bb_lower,bb_width,bb_pctb,atr_14,natr_14,macd,macd_signal,macd_hist,ppo,ppo_signal,ppo_hist,ret_1d,ret_5d,ret_10d,ret_21d,ret_42d,ret_63d,fwd_ret_1d,fwd_ret_5d,fwd_ret_21d,DTWEXBGS,DFII10,M2SL,WALCL,gold,btc_gold_ratio,fear_greed,funding_rate
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-0.04123843662195337,-0.057193798015439556,0.09487104091405518,110.1673,0.42,13697.7,4462871.0,1286.4000244140625,3.3310633696169236,,
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,,,,,,,,,-14.096524216523903,-2.819304843304781,-11.277219373219122,-0.329975561609278,-0.0659951123218556,-0.26398044928742237,-0.04123843662195337,,,,,,0.007694048978061696,0.0013728072203817998,0.04245722756226922,110.041,0.43,13697.7,4462871.0,1285.699951171875,3.1954345150712262,,
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,,,,,,,,,-22.45856997913961,-6.747157870471747,-15.711412108667865,-0.526922896006266,-0.15818066905873768,-0.3687422269475283,0.007694048978061696,,,,,,-0.012968661684355842,0.04251952907985079,0.028703037212740368,110.041,0.43,13697.7,4462871.0,1285.699951171875,3.2200203447363736,,
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,,,,,,,,,-33.037055178007904,-12.005137331978979,-21.031917846028925,-0.777492379302069,-0.282043011107404,-0.49544936819466506,-0.012968661684355842,,,,,,-0.017201422317065118,0.047571268803731526,0.010787291161420187,110.041,0.43,13697.7,4462871.0,1285.699951171875,3.1782609902687446,,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,,,,,,,,,-46.55573098705827,-18.91525606299484,-27.64047492406343,-1.1001120916838127,-0.44565682722268574,-0.654455264461127,-0.017201422317065118,,,,,,0.005976095617529875,0.08003984063745007,0.04792579681274911,109.7349,0.43,13697.7,4462871.0,1290.800048828125,3.1112487202382697,,
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,,,,,,,,,-54.70220655270077,-26.072646160936028,-28.629560391764745,-1.2969699910409467,-0.615919459986338,-0.6810505310546087,0.005976095617529875,-0.057193798015439556,,,,,0.018319306930693058,0.06683415841584162,0.030623762376237762,109.8386,0.45,13697.7,4462871.0,1285.0999755859375,3.1437242835196337,,
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,,,,,,,,,-54.55745428586579,-31.76960778592198,-22.787846499943807,-1.2958977250252028,-0.7519151129941111,-0.5439826120310918,0.018319306930693058,0.0013728072203817998,,,,,0.049100512638520666,0.0662808306251077,-0.04115692475224908,109.8095,0.42,13697.7,4463837.0,1288.9000244140625,3.1918767337057354,,
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,,,,,,,,,-37.70834690545871,-32.95735560982933,-4.750991295629383,-0.8940152324737217,-0.7803351368900332,-0.11368009558368852,0.049100512638520666,0.04251952907985079,,,,,-0.008185801237717172,0.06289837141248489,-0.2611184867504941,109.7524,0.44,13697.7,4463837.0,1286.5,3.354846482705014,,
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,,,,,,,,,-26.896102127014274,-31.74510491326632,4.849002786252047,-0.6369684650006403,-0.7516618025121546,0.11469333751151434,-0.008185801237717172,0.047571268803731526,,,,,0.013259575581449523,0.06411598157302101,-0.13565134511339327,109.3415,0.42,13697.7,4463837.0,1292.5,3.311938104448743,,
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,,,,,,,,,-13.590598643880185,-28.114203659389094,14.52360501550891,-0.32121254276950206,-0.6655719505636242,0.3443594077941221,0.013259575581449523,0.08003984063745007,,,,,-0.006324006787413627,0.08932688406064426,-0.1435155298978199,109.3415,0.42,13697.7,4463837.0,1292.5,3.355852998065764,,
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,,,,,,,,,-5.199328409015834,-23.531228609314443,18.33190020029861,-0.12271596310460188,-0.5570007530718197,0.43428478996721787,-0.006324006787413627,0.06683415841584162,0.0058178610434345135,,,,0.017791142015911587,0.12178626035670437,-0.14153563448808715,109.3415,0.42,13697.7,4463837.0,1292.5,3.3346305609284332,,
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,,,,,,,,,7.551203295325649,-17.314742228386425,24.865945523712075,0.17775997402491234,-0.41004860765247336,0.5878085816773857,0.017791142015911587,0.0662808306251077,0.06774462864834474,,,,0.04577255288155757,0.01947937966895319,-0.08016978633092364,109.1815,0.41,13697.7,4463837.0,1309.699951171875,3.349385480296413,,
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,,,,,,,,,33.472318410746084,-7.157330100559924,40.62964851130601,0.7833216565535723,-0.17137455481126423,0.9546962113648365,0.04577255288155757,0.06289837141248489,0.10809230962468419,,,,-0.007049622014700718,-0.01708999276291112,-0.14767148848605327,109.0946,0.39,13697.7,4463837.0,1313.0999755859375,3.4936258360319847,,
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,,,,,,,276.4004506895621,6.06788047545327,50.819604402477125,4.438056800047486,46.38154760242964,1.1834983711927503,0.09960003038953867,1.0838983408032117,-0.007049622014700718,0.06411598157302101,0.11473732897077804,,,,0.03726559447130051,-0.09989374640516002,-0.14382433909824954,109.4052,0.39,13697.7,4452360.0,1308.0999755859375,3.4822567731947367,,
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,36.96084210305682,,,,,,270.2489899260219,5.719688499118962,77.37295263642682,19.025035967323355,58.34791666910346,1.7885844959375976,0.4373969234991505,1.3511875724384472,0.03726559447130051,0.08932688406064426,0.17651643426294839,,,,0.023285198173925714,-0.07585785065895712,-0.23596316528003836,109.3686,0.36,13697.7,4452360.0,1316.199951171875,3.5897965167018944,,
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,41.05849261853066,,,,,,267.4219192170204,5.531063023241806,106.07163911446241,36.43435659675117,69.63728251771124,2.430809568567728,0.836079452512866,1.594730116054862,0.023285198173925714,0.12178626035670437,0.19675990099009888,,,,-0.0750313863132922,-0.04449720884152952,-0.2562695065678575,109.0504,0.37,13745.1,4452360.0,1324.5,3.6503661759154395,,
